Event Name,Event Description,Event Start Date,Event Start Time,Event End Date,Event End Time,All Day Event,Event Venue Name,Event Category,Event Website
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-10-29,08:00,2026-10-29,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
"Gowanus Canal Conservancy: Rain Garden Stewardship, Sponge Park and Bond Gardens","Volunteer shift caring for the rain gardens, 10 AM to 12 PM. Training and tools provided: trash pickup, invasive plant ID and weeding, pruning, curb cleaning and sweeping. No experience necessary. Ages 14 and up; younger volunteers with a parent or guardian.",2026-10-30,10:00,2026-10-30,,,Gowanus Dredgers Canoe Club Boathouse,Civic Associations,https://www.eventbrite.com/e/rain-garden-stewardship-sponge-park-bond-gardens-tickets-1998802328571
🗳 Early Voting · 9AM–5PM,,2026-10-30,,2026-10-30,,1,,Elections,https://bkcb6.app/poll-finder-bk.html
Gowanus Canal Conservancy: Street Tree Stewardship,"Volunteer shift on 3rd Street, 10 AM to 1 PM: weeding, soil cultivation, planting and watering the young street trees. Come as you are; training and tools provided.",2026-10-31,10:00,2026-10-31,,,Meet outside the GCC office,Civic Associations,https://www.eventbrite.com/e/street-tree-stewardship-tickets-1998810903218
Park Slope Open Streets: Halloween 🎃,,2026-10-31,,2026-10-31,,1,5th Avenue,Civic Associations,https://www.parkslopeopenstreets.org/calendar
🗳 Early Voting · 9AM–5PM,,2026-10-31,,2026-10-31,,1,,Elections,https://bkcb6.app/poll-finder-bk.html
ASP Suspended — All Saints' Day,,2026-11-01,,2026-11-01,,1,,City Notices,
General Early Voting ends,,2026-11-01,,2026-11-01,,1,,Elections,
🗳 Early Voting · 9AM–5PM (last day),,2026-11-01,,2026-11-01,,1,,Elections,https://bkcb6.app/poll-finder-bk.html
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-11-01,09:00,2026-11-01,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
76th Precinct Community Council Meeting,,2026-11-04,19:00,2026-11-04,,,76th Precinct,Public Safety,https://www.nyc.gov/site/nypd/bureaus/patrol/precincts/76th-precinct.page
NYC City Council Stated Meeting,,2026-11-04,13:30,2026-11-04,,,NYC City Hall,Government,https://legistar.council.nyc.gov/Calendar.aspx
General: last day to request mail ballot in person,,2026-11-02,,2026-11-02,,1,,Elections,
ASP Suspended — Election Day,,2026-11-03,,2026-11-03,,1,,City Notices,
🗳 General Election Day · polls 6am–9pm · last day to submit mail ballots,,2026-11-03,,2026-11-03,,1,,Elections,
Election Day — Remote Learning (no in-person),,2026-11-03,,2026-11-03,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-11-05,08:00,2026-11-05,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
ASP Suspended — Diwali,,2026-11-08,,2026-11-08,,1,,City Notices,
Pioneer Works: Second Sundays — November,,2026-11-08,12:00,2026-11-08,,,Pioneer Works,Arts & Culture,https://pioneerworks.org/series/second-sundays
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-11-08,09:00,2026-11-08,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
BKBP ULURP Public Hearing,,2026-11-10,18:00,2026-11-10,,,Brooklyn Borough Hall,Government,https://www.brooklynbp.nyc.gov/event/ulurp-public-hearing-meeting-tuesday/
ASP Suspended — Veterans Day,,2026-11-11,,2026-11-11,,1,,City Notices,
FAC: Introduction to Homebuying Workshop,,2026-11-11,18:00,2026-11-11,,,Fifth Avenue Committee,Civic Associations,https://fifthave.org/blog/event/introduction-to-homebuying-workshop-14/
Veterans Day — Schools Closed,,2026-11-11,,2026-11-11,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
NYC City Council Stated Meeting,,2026-11-18,13:30,2026-11-18,,,NYC City Hall,Government,https://legistar.council.nyc.gov/Calendar.aspx
ASP Suspended — Thanksgiving,,2026-11-26,,2026-11-26,,1,,City Notices,
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-11-26,08:00,2026-11-26,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
Thanksgiving Recess — Schools Closed,,2026-11-26,,2026-11-26,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Thanksgiving Recess — Schools Closed,,2026-11-27,,2026-11-27,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
ASP Suspended — Immaculate Conception,,2026-12-08,,2026-12-08,,1,,City Notices,
FAC: Introduction to Homebuying Workshop,,2026-12-08,18:00,2026-12-08,,,Fifth Avenue Committee,Civic Associations,https://fifthave.org/blog/event/introduction-to-homebuying-workshop-11/
BKBP ULURP Public Hearing,,2026-12-09,08:00,2026-12-09,,,Brooklyn Borough Hall,Government,https://www.brooklynbp.nyc.gov/event/ulurp-public-hearing-meeting-10/
NYC City Council Stated Meeting,,2026-12-16,13:30,2026-12-16,,,NYC City Hall,Government,https://legistar.council.nyc.gov/Calendar.aspx
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-12-24,08:00,2026-12-24,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
Winter Recess begins — Schools Closed,,2026-12-24,,2026-12-24,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
76th Precinct Community Council Meeting,,2026-12-02,19:00,2026-12-02,,,76th Precinct,Public Safety,https://www.nyc.gov/site/nypd/bureaus/patrol/precincts/76th-precinct.page
NYC City Council Stated Meeting,,2026-12-02,13:30,2026-12-02,,,NYC City Hall,Government,https://legistar.council.nyc.gov/Calendar.aspx
ASP Suspended — Christmas Day,,2026-12-25,,2026-12-25,,1,,City Notices,
Winter Recess — Schools Closed,,2026-12-25,,2026-12-25,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Winter Recess — Schools Closed,,2026-12-28,,2026-12-28,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-09-20,09:00,2026-09-20,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
Arts Gowanus Open Studios (30th Annual) — Day 2 of 2,30th Annual Arts Gowanus Open Studios. Visit artist studios throughout Gowanus. Noon–6:00 PM.,2026-10-18,12:00,2026-10-18,,,Gowanus,Arts & Culture,https://www.artsgowanus.org/gowanus-open-studios
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-10-18,09:00,2026-10-18,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-10-25,09:00,2026-10-25,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
🗳 Early Voting · 9AM–5PM,,2026-10-25,,2026-10-25,,1,,Elections,https://bkcb6.app/poll-finder-bk.html
Old Stone House: NEW PLAY: Fourth Avenue (Brooklyn),A new American play about an old American story. Ends 10:00 PM.,2026-11-12,20:00,2026-11-12,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/new-play-fourth-avenue-brooklyn-tickets-1989959517485
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-11-12,08:00,2026-11-12,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
Old Stone House: Bitters & Amaros With Julianne Zaleta,Just before Thanksgiving Day and the upcoming season of overeating! Ends 1:31 PM.,2026-11-14,12:00,2026-11-14,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/bitters-amaros-with-julianne-zaleta-tickets-1984826810420
Old Stone House: NEW PLAY: Fourth Avenue (Brooklyn),A new American play about an old American story. Ends 9:00 PM.,2026-11-14,19:00,2026-11-14,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/new-play-fourth-avenue-brooklyn-tickets-1989959692007
Old Stone House: NEW PLAY: Fourth Avenue (Brooklyn),A new American play about an old American story. Ends 10:00 PM.,2026-11-13,20:00,2026-11-13,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/new-play-fourth-avenue-brooklyn-tickets-1989959670944
Old Stone House: NEW PLAY: Fourth Avenue (Brooklyn),A new American play about an old American story. Ends 4:00 PM.,2026-11-15,14:00,2026-11-15,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/new-play-fourth-avenue-brooklyn-tickets-1989960379062
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-11-15,09:00,2026-11-15,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
Old Stone House: NEW PLAY: Fourth Avenue (Brooklyn),A new American play about an old American story. Ends 9:00 PM.,2026-11-19,19:00,2026-11-19,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/new-play-fourth-avenue-brooklyn-tickets-1989960404137
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-11-19,08:00,2026-11-19,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
Old Stone House: Wreath Workshop with Sam Lewis,Create a beautiful winter wreath for your home with guidance from the OSH garden team! Ends 4:00 PM.,2026-11-21,12:00,2026-11-21,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/wreath-workshop-with-sam-lewis-tickets-1991289219660
CHiPS Free Monthly Food Distribution at PS 15,"Visit the CHiPS pantry van for free pantry items and fresh produce. Monthly on Fridays: 9/18, 10/16, 11/20 and 12/11. To volunteer, email volunteer@chipsonline.org. Ends 3:00 PM.",2026-11-20,13:30,2026-11-20,,,PS 15,Community,https://chipsonline.org
Old Stone House: NEW PLAY: Fourth Avenue (Brooklyn),A new American play about an old American story. Ends 9:00 PM.,2026-11-20,19:00,2026-11-20,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/new-play-fourth-avenue-brooklyn-tickets-1989960413164
Old Stone House: NEW PLAY: Fourth Avenue (Brooklyn),A new American play about an old American story. Ends 4:00 PM.,2026-11-22,14:00,2026-11-22,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/new-play-fourth-avenue-brooklyn-tickets-1989960427206
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-11-22,09:00,2026-11-22,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
5th Avenue Tree Lighting — Small Business Saturday,"Annual tree lighting on Small Business Saturday, hosted by the Park Slope Fifth Avenue BID. Fun for all. Ends 5:30 PM.",2026-11-28,16:30,2026-11-28,,,"5th Avenue at 4th Street, Park Slope",Civic Associations,https://parkslopefifthavenuebid.com/event/5th-avenue-tree-lighting-small-business-saturday/
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-11-29,09:00,2026-11-29,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-12-03,08:00,2026-12-03,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-12-06,09:00,2026-12-06,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
Old Stone House: Brooklyn Baroque at the Old Stone House,"Brooklyn Baroque presents a concert of music from Paris, c.1740. Ends 8:30 PM.",2026-12-10,19:00,2026-12-10,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/brooklyn-baroque-at-the-old-stone-house-tickets-1995245048651
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-12-10,08:00,2026-12-10,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
CHiPS Free Monthly Food Distribution at PS 15,"Visit the CHiPS pantry van for free pantry items and fresh produce. Monthly on Fridays: 9/18, 10/16, 11/20 and 12/11. To volunteer, email volunteer@chipsonline.org. Ends 3:00 PM.",2026-12-11,13:30,2026-12-11,,,PS 15,Community,https://chipsonline.org
Old Stone House: Herbal Potions for Winter Wellness with Julianne Zaleta,"Julianne Zaleta shows you how to stay warm, healthy and protected against germs this winter. Ends 1:30 PM.",2026-12-12,12:00,2026-12-12,,,Old Stone House of Brooklyn,Arts & Culture,https://www.eventbrite.com/e/herbal-potions-for-winter-wellness-with-julianne-zaleta-tickets-1982632079922
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-12-13,09:00,2026-12-13,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-12-17,08:00,2026-12-17,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-12-20,09:00,2026-12-20,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
Park Slope Farmers Market,Year-round Sunday market. 9AM–2PM. Site host: Old Stone House.,2026-12-27,09:00,2026-12-27,,,Washington Park,Food & Markets,https://downtoearthmarkets.com/
Park Slope Food Coop: Annual Meeting and General Meeting,"The Coop’s Annual Meeting, where members elect the Board of Directors, held with the June General Meeting. Members only; the agenda with the location and how to attend is posted about three weeks ahead.",2027-06-29,19:00,2027-06-29,,,See the GM agenda for the location,Food & Markets,https://www.foodcoop.com/gmagenda
Alternate Side Parking Suspended,,2026-09-21,,2026-09-21,,1,,City Notices,https://brooklyncb6.cityofnewyork.us/event/alternate-side-parking-suspended-78/
Alternate Side Parking Suspended,,2026-09-26,,2026-09-26,,1,,City Notices,https://brooklyncb6.cityofnewyork.us/event/alternate-side-parking-suspended-79/
Alternate Side Parking Suspended,,2026-09-27,,2026-09-27,,1,,City Notices,https://brooklyncb6.cityofnewyork.us/event/alternate-side-parking-suspended-80/
Alternate Side Parking Suspended,,2026-10-03,,2026-10-03,,1,,City Notices,https://brooklyncb6.cityofnewyork.us/event/alternate-side-parking-suspended-81/
Alternate Side Parking Suspended,,2026-10-04,,2026-10-04,,1,,City Notices,https://brooklyncb6.cityofnewyork.us/event/alternate-side-parking-suspended-82/
Alternate Side Parking Suspended,,2026-10-12,,2026-10-12,,1,,City Notices,https://brooklyncb6.cityofnewyork.us/event/alternate-side-parking-suspended-83/
Early Voting — November 2026 General Election,"Early Voting for the November 3, 2026 General Election. Find your assigned early voting poll site and hours at vote.nyc. Hours vary by day. More info: https://www.vote.nyc/elections",2026-10-24,,2026-10-24,,1,,Community,https://brooklyncb6.cityofnewyork.us/event/early-voting-november-2026-general-election/
Early Voting — November 2026 General Election,"Early Voting for the November 3, 2026 General Election. Find your assigned early voting poll site and hours at vote.nyc. Hours vary by day. More info: https://www.vote.nyc/elections",2026-10-25,,2026-10-25,,1,,Community,https://brooklyncb6.cityofnewyork.us/event/early-voting-november-2026-general-election-2/
Early Voting — November 2026 General Election,"Early Voting for the November 3, 2026 General Election. Find your assigned early voting poll site and hours at vote.nyc. Hours vary by day. More info: https://www.vote.nyc/elections",2026-10-26,,2026-10-26,,1,,Community,https://brooklyncb6.cityofnewyork.us/event/early-voting-november-2026-general-election-3/
Early Voting — November 2026 General Election,"Early Voting for the November 3, 2026 General Election. Find your assigned early voting poll site and hours at vote.nyc. Hours vary by day. More info: https://www.vote.nyc/elections",2026-10-27,,2026-10-27,,1,,Community,https://brooklyncb6.cityofnewyork.us/event/early-voting-november-2026-general-election-4/
Early Voting — November 2026 General Election,"Early Voting for the November 3, 2026 General Election. Find your assigned early voting poll site and hours at vote.nyc. Hours vary by day. More info: https://www.vote.nyc/elections",2026-10-28,,2026-10-28,,1,,Community,https://brooklyncb6.cityofnewyork.us/event/early-voting-november-2026-general-election-5/
Early Voting — November 2026 General Election,"Early Voting for the November 3, 2026 General Election. Find your assigned early voting poll site and hours at vote.nyc. Hours vary by day. More info: https://www.vote.nyc/elections",2026-10-29,,2026-10-29,,1,,Community,https://brooklyncb6.cityofnewyork.us/event/early-voting-november-2026-general-election-6/
Early Voting — November 2026 General Election,"Early Voting for the November 3, 2026 General Election. Find your assigned early voting poll site and hours at vote.nyc. Hours vary by day. More info: https://www.vote.nyc/elections",2026-10-30,,2026-10-30,,1,,Community,https://brooklyncb6.cityofnewyork.us/event/early-voting-november-2026-general-election-7/
Early Voting — November 2026 General Election,"Early Voting for the November 3, 2026 General Election. Find your assigned early voting poll site and hours at vote.nyc. Hours vary by day. More info: https://www.vote.nyc/elections",2026-10-31,,2026-10-31,,1,,Community,https://brooklyncb6.cityofnewyork.us/event/early-voting-november-2026-general-election-8/
Alternate Side Parking Suspended,,2026-11-01,,2026-11-01,,1,,City Notices,https://brooklyncb6.cityofnewyork.us/event/alternate-side-parking-suspended-84/
Early Voting — November 2026 General Election,"Early Voting for the November 3, 2026 General Election. Find your assigned early voting poll site and hours at vote.nyc. Hours vary by day. More info: https://www.vote.nyc/elections",2026-11-01,,2026-11-01,,1,,Community,https://brooklyncb6.cityofnewyork.us/event/early-voting-november-2026-general-election-9/
Alternate Side Parking Suspended,,2026-11-03,,2026-11-03,,1,,City Notices,https://brooklyncb6.cityofnewyork.us/event/alternate-side-parking-suspended-85/
Alternate Side Parking Suspended,,2026-11-08,,2026-11-08,,1,,City Notices,https://brooklyncb6.cityofnewyork.us/event/alternate-side-parking-suspended-86/
On Location with Artichoke Dance | Robin Michals,"On Location with Artichoke Dance is a solo exhibition by Brooklyn-based photographer Robin Michals. Curated by Pam Wong, the exhibit showcases photographs of Artichoke Dance Company performing the Immersive Performance Tours of Gowanus conceived by Lynn Neuman in 2021, and co-hosted annually with various environmental and social justice organizations. The photographs on view feature Artichoke dancers moving through Gowanus in space and time and include images at the defunct Salt Lot in 2021 and the new 420 Carroll Street development in 2026. Michals merges the genres of dance photography and urban landscape photography in vibrant shots that capture the performances as well as the evolution of the neighborhood. The photos juxtapose the dancers as they work together to create patterns and shapes against a backdrop of the transforming waterfront. The photos offer an interpretation of the performances as a positive vision of urban life that values art, collaboration, and environmental awareness. In addition, there is a portrait of Neuman, in costume, on the tipping floor at SIMS Municipal Recycling, taken for Michals and Neuman’s collaborative project Waste Side Story. Michals and Neuman met in 2018 through a residency offered by Works on Water and Underwater New York on Governors Island. Michals, who had been working on environmental issues for 15 years, was struck by Lynn’s upcycling of plastic bags into costumes, and the pair began to work together to make images of a dancer wearing the costumes at locations that reflect the lifecycle of plastics from production to various end points including landfills and oceans. Several of these images were exhibited at The Old Stone House in 2021. Robin shifted her focus to dance photography after the pandemic, starting with her work with the Times Square Project in 2020 and 2021. For Robin, photographing the Artichoke Dance tours is an incredible opportunity to bring together her longstanding love of urban landscape photography and her much more recent, but no less profound, love of dance photography. —————- ON LOCATION WITH ARTICHOKE DANCE On view Saturdays: Sept 12, 19, 26 and Oct 3 from 1-5pm ON LOCATION WITH ARTICHOKE DANCE Programs: Sept. 12 (2:00–2:30pm): Video screening of Immersive Performance Tour Highlights: 2021–2026 with Artichoke Dance Company Sept. 12 (2:30-4:30pm): Join a guided tour using the Gowanus Augmented Reality Walking Tour App featuring animated virtual environments of the past as visual overlays on the canal-scape, as well as the Underground Waterways Soundwalk where voices from the past murmur and sing, led by Sarah Drury, Project Director. iPads and headphones provided, or download to your iPhone. The 20-minute tour will be available from 2:30-4:30pm. Sept. 19 (2:00pm): Pop-up performance by Artichoke Dance Company Sept. 26 (2:00pm): Pop-up performance by Artichoke Dance Company Sept. 26 (2:30pm): Role of the Arts in Change Making: A Conversation with Naturally Occurring Cultural Districts of New York Oct. 3 (2:00pm): Pop-up performance by Artichoke Dance Company —————- About the Artist: Robin Michals is a photographer who specializes in dance and performance. She is completely omnivorous when it comes to dance with an interest in all forms from folkloric to street dance. Her clients include the international Human Rights Arts Festival and the Queensboro Dance Festival among many others. In 2025, she had a public installation of photos of dancers at the party Vinyl Nights in Albee Square in Downtown Brooklyn, sponsored by Downtown Brooklyn Partnership. Her work has also been in numerous publications including Hyperallergic, Queens Chronicle, and Time Out. Before shifting her focus to performance, she spent 15 years documenting environment issues including climate change and the fossil fuel industries. She was raised in Manhattan and moved to Brooklyn in the last century. Robin has taught photography at City Tech, CUNY, where her students are from all over the world, for 23 years. For more info: www.robinmichals.com About Artichoke Dance: Artichoke Dance Company, based in Brooklyn, NY, is known for innovative and engaging performances paired with environmental activism, education, community building and civic engagement. Previous large-scale projects have addressed plastic pollution mitigation on Coney Island, single use plastic bags in New York, sea level rise and climate migration, the remediation of the Gowanus Canal, river revitalization in Los Angeles, and water use and rights in the desert southwest. Under the Direction of Lynn Neuman, Artichoke Dance Company also annually produces an Eco-Arts Festival during NYC Climate Week on Governors Island, bringing visual and performing arts and climate consciousness together through participatory workshops, exhibitions, and performances. Neuman began Artichoke’s Immersive Performance Tours of Gowanus drawing on her many years of experience organizing with the Gowanus Neighborhood Coalition for Justice. Artichoke’s ecoarts activism training program, Artichoke Ambassadors, and fellowship program, Arts Incubator for Change Making, trains and mentors the next generation of ecoarts activists. Incorporated as a non-profit in 1999, Artichoke Dance has held 23 New York seasons and toured nationally and internationally. For more info: www.artichokedance.org.",2026-09-19,,2026-09-19,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/on-location-with-artichoke-dance-robin-michals/2026-09-19/
FREE Walk-Up Paddling - 2nd St.,"Hop into a Gowanus Dredgers canoe and paddle at your own pace inside the protected Gowanus Canal. Enjoy discovering the canal’s unique mix of wildlife and urban waterway infrastructure, practice your paddling skills, or take a guided audio tour and learn more about the history, cleanup and revitalization of our favorite urban waterway. We’ll outfit you with a life jacket (which must be worn at all times) and paddle, offer some basic instruction on how to paddle and safety tips on how to use a canoe, and help you set off on your own self-guided journey. Trips may be limited to 20 minutes if there’s a crowd — but usually we just expect you to return to the dock 15 min. prior to closing. Who can participate? Paddling is for everyone! Free walk-up canoeing is open to all ages. Groups, families, solo paddlers, and intrepid first dates are all welcome! Minors require a guardian’s signature to participate, and all participants must sign a waiver. What should I wear? Dress for the weather: wear sunscreen, hats, and bring a water bottle — and bring layers if there’s a breeze! Close-toed shoes are recommended, and wear clothing you don’t mind potentially being splashed. Is it really free? Yes! But donations are encouraged to help us continue offering these and other programs. Can I volunteer? Yes! You can sign up to volunteer here. No prior experience is required, but we love return volunteers! Note: Volunteer shifts run from 30-minutes before the start of the program through the first two hours, or from the middle of the program to 30 minutes after the end of the scheduled time.",2026-09-19,,2026-09-19,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/__trashed-20/
Cultural Ecologies Series 2026: Unheard-of + Mehrnam Rastegari Trio,"Cultural Ecologies Series 2026: Unheard-of and the Gowanus Dredgers present Mehrnam Rastegari Trio Dredgers Bunker, 2 19th Street, NY 11232 Date and Time: September 19, 2026, 6:30PM Canoe Launch, 7PM Music On September 19th, Unheard-of presents a new expansive electroacoustic commission by Matt McBane exploring underwater topographies in acoustic and synth forms paired with a set by Mehrnam Rastegari and her trio. Rastegari is a prominent Persian musician, award-winning film score composer, and master Kamancheh player bringing Persian music in new directions with inflections of rock, jazz, and modern fusion. TICKET RSVP OR RESERVE YOUR CANOE SEAT HERE — These free performances will take place at the Gowanus Dredgers Bunker as well as their satellite locations including the paddle-in movie location and Boathouse (both ADA accessible). The audience will be able to attend the performance either via canoe (reserved in advance via the Dredgers), sitting on one of the Dredgers’ new docks, or on shore via an accessible location. Unheard-of will be on a floating dock with full live sound setup literally floating on the canal. Each performance opens with a talk given by members of the Dredgers about their work in the Canal. Credits: Unheard-of’s Cultural Ecologies series is supported, in part, by public funds from the New York City Department of Cultural Affairs in partnership with the City Council. Unheard-of Ensemble is a recipient of a 2026 Chamber Music America Artistic Projects grant for our Cultural Ecologies series New Pathways Initiative. The Artistic Projects program is administered by Chamber Music America and made possible with funding from the Howard Gilman Foundation. Unheard-of’s 2025-2026 performances are made possible by the New York State Council on the Arts with the support of the Office of the Governor and the New York State Legislature.",2026-09-19,,2026-09-19,,1,"Gowanus Dredgers Bunker (19th St.), 2 19th St., Brooklyn, NY",Arts & Culture,https://gowanusdredgers.org/event/cultural-ecologies-series-2026-unheard-of-mehrnam-rastegari-trio/
FREE Walk-Up Paddling - 2nd St.,"Hop into a Gowanus Dredgers canoe and paddle at your own pace inside the protected Gowanus Canal. Enjoy discovering the canal’s unique mix of wildlife and urban waterway infrastructure, practice your paddling skills, or take a guided audio tour and learn more about the history, cleanup and revitalization of our favorite urban waterway. We’ll outfit you with a life jacket (which must be worn at all times) and paddle, offer some basic instruction on how to paddle and safety tips on how to use a canoe, and help you set off on your own self-guided journey. Trips may be limited to 20 minutes if there’s a crowd — but usually we just expect you to return to the dock 15 min. prior to closing. Who can participate? Paddling is for everyone! Free walk-up canoeing is open to all ages. Groups, families, solo paddlers, and intrepid first dates are all welcome! Minors require a guardian’s signature to participate, and all participants must sign a waiver. What should I wear? Dress for the weather: wear sunscreen, hats, and bring a water bottle — and bring layers if there’s a breeze! Close-toed shoes are recommended, and wear clothing you don’t mind potentially being splashed. Is it really free? Yes! But donations are encouraged to help us continue offering these and other programs. Can I volunteer? Yes! You can sign up to volunteer here. No prior experience is required, but we love return volunteers! Note: Volunteer shifts run from 30-minutes before the start of the program through the first two hours, or from the middle of the program to 30 minutes after the end of the scheduled time.",2026-09-20,,2026-09-20,,1,"Gowanus Dredgers Canoe Club Boathouse, 165 2nd St, Brooklyn, NY, 11231, United States",Arts & Culture,https://gowanusdredgers.org/event/__trashed-21/
